dt_ts,NEE,ET,LE,H,SWin,SWout,LWin,LWout,TA1,TA2,RH1,RH2
2025-09-13 21:30:00,-7.394231555561546,0.3123950727616787,8.858516115497926,-15.832068063623684,-2.613333,0.1066667,348.4633,409.3983,19.82,19.46333583333333,89.5,91.775
2025-09-13 22:00:00,-3.1714136534880004,0.14164585071671804,4.021134654511677,-10.39893309862276,-2.28,0.09833333,347.915,406.39,19.35,18.8008175,90.2,93.24166666666667
2025-09-13 22:30:00,-5.658653874710262,-0.09512706255426452,-2.7012593413926385,-10.642459447075073,-2.746667,0.01,347.0916,405.8966,19.23,18.64809583333334,90.0,93.475
2025-09-13 23:00:00,-6.731895953001496,-0.14362267814213214,-4.079321691716969,-16.080569585658647,-2.646667,0.1333333,345.6883,404.55,18.83,18.408716666666663,91.3,93.50833333333333
2025-09-13 23:30:00,-6.692529514374813,-0.14307925206744654,-4.065657696527473,-15.934307976607228,-1.94,0.23,347.135,402.6316,18.38,18.080619166666665,92.8,94.54166666666669
2025-09-14 00:00:00,-3.437299021859446,-0.061089541825775216,-1.7362809183066763,-8.128796604109857,-1.508333,0.105,350.0283,401.635,18.21,17.901116666666667,93.6,95.05833333333332
2025-09-14 00:30:00,-5.9076369770219435,-0.1392694452761614,-3.958852262999384,-9.942055462189913,-1.72,0.1466667,356.7216,400.6816,18.0,17.739416666666664,93.8,95.1
2025-09-14 01:00:00,-3.1751806263674047,-0.19000315056533537,-5.402236751877824,-8.083345360963822,-1.116667,0.1033333,363.8733,400.2133,17.78,17.5844,94.4,95.6
2025-09-14 01:30:00,-4.942816888472912,-0.36128386990028144,-10.273174020301456,-4.59578539864551,-1.566667,0.1316667,371.0717,399.6033,17.68,17.493655,94.5,95.63333333333333
2025-09-14 02:00:00,-3.553331767971073,0.13084790201129165,3.7210685993864496,-5.623388574291352,-1.403333,0.1116667,374.8183,398.8033,17.57,17.323609166666667,94.8,95.90000000000002
2025-09-14 02:30:00,-3.0548563778242777,0.3614303798681106,10.279384074393528,-4.962101168184775,-0.9116666,0.1216667,379.1533,399.4183,17.52,17.302220000000002,95.3,96.25
2025-09-14 03:00:00,-9.292779954478968,0.04080752219139353,1.16049577774893,-9.28750570363528,-0.2333333,0.06,398.7067,402.6083,17.63,17.547315833333332,95.4,96.625
2025-09-14 03:30:00,-2.407589945410981,0.8578591563864573,24.40541266804161,-6.452408810070025,-0.145,0.125,399.2233,402.115,17.31,17.382645,96.3,96.95
2025-09-14 04:00:00,-3.3265354776389855,0.6156962430511572,17.516981633933312,-3.6173119165047716,-0.25,0.1283333,398.3183,402.3733,17.37,17.411533333333335,96.5,97.04166666666669
2025-09-14 04:30:00,-4.332234545703215,0.15837737467094795,4.505259723238826,-0.7822150229395172,-0.1283333,0.1166667,399.1783,402.5866,17.36,17.434810000000002,96.5,97.2
2025-09-14 05:00:00,-4.219605047420696,0.21701359084763922,6.1732846839065,-0.5084351412238045,-0.1666667,0.1733333,399.3083,402.2467,17.27,17.375993333333337,96.7,97.15833333333336
2025-09-14 05:30:00,-0.3990099017567259,-0.48551894525312295,-13.813959316715955,-5.597555347495975,0.9333333,0.1733333,399.4383,401.735,17.19,17.267235833333334,96.8,97.33333333333331
2025-09-14 06:00:00,2.314689165718296,-0.0832404963879874,-2.370581084894649,-2.3986355771345678,9.679999,0.9433333,399.78,402.305,17.21,17.298305000000003,96.9,97.44166666666668
2025-09-14 06:30:00,0.2305207859725512,0.31903795247714817,9.072797146926657,0.8002841932268394,24.825,2.378333,401.0333,404.185,17.41,17.591018333333334,97.0,97.54166666666669
2025-09-14 07:00:00,-1.8536475937731933,0.7213164013422837,20.516175378747963,3.999203963588247,49.235,4.578333,401.75,406.7,17.7,17.90349416666667,97.0,97.43333333333334
2025-09-14 07:30:00,-5.020509398737027,0.634875830160948,18.050462199102952,9.931831867858083,103.0583,10.09833,396.265,410.3,17.92,18.379248333333333,96.3,95.68333333333334
2025-09-14 08:00:00,-1.62394408047855,0.8140782943887502,23.136803719225167,15.86445977212792,158.9617,15.36333,385.635,413.9767,18.53,19.045135833333337,91.4,90.64166666666668
2025-09-14 08:30:00,1.7726212377799264,1.9916417400340896,56.584747904100674,50.907663396549445,261.6733,26.18167,394.3183,425.4566,19.2,20.248416666666667,87.8,85.45833333333333
2025-09-14 09:00:00,3.748385244783352,1.1540740525998365,32.77663458511769,58.75764599151655,312.4767,32.14666,389.1983,432.2267,19.72,20.48523833333333,86.4,83.85833333333333
2025-09-14 09:30:00,2.418024092226411,1.5861984904860091,45.02511912760769,80.5413260292291,480.725,48.07333,361.97,448.58,20.74,22.643486666666664,82.0,75.685
2025-09-14 10:00:00,-15.442616569761674,-0.24830929004596317,-7.042740722483928,128.5928767991258,671.0367,66.91833,367.0133,469.4467,22.07,23.566716666666668,78.18,73.56333333333335
2025-09-14 10:30:00,7.08329751512656,2.837741890077793,80.40577536613688,193.01880818742015,617.2683,62.95333,351.1917,474.7516,22.79,24.082551666666664,75.13,71.02083333333333
2025-09-14 11:00:00,8.822318396854428,2.6954791978959856,76.30316885983964,177.1609694401066,737.2349,72.78667,353.93,485.665,23.77,25.28522333333333,71.82,66.49249999999999
2025-09-14 11:30:00,2.504517208339853,1.8936708065617316,53.57667857767973,143.52295980614795,759.3566,74.83666,357.1,492.4,24.41,27.59756333333333,69.81,61.035833333333336
2025-09-14 12:00:00,-2.2311293451329766,1.3344559695592906,37.71977935468628,166.02417405447812,767.0916,75.18999,357.8217,497.33,25.34,27.234735000000004,66.53,60.51083333333332
2025-09-14 12:30:00,5.6211245560683345,3.621551794922873,102.2973593551107,218.96546983827403,755.7617,73.31667,361.1533,500.3816,26.09,27.82930333333334,64.47,59.4375
2025-09-14 13:00:00,4.365069637610794,2.8539117552890323,80.57765977468992,187.1483700497789,728.45,70.96999,363.1333,498.4283,26.62,28.5649425,62.23,58.25833333333333
2025-09-14 13:30:00,3.365393160213918,4.5650783303671965,128.8074306325583,220.6142755693793,695.3699,68.08334,366.6,505.22,27.34,30.37412333333333,60.39,53.455000000000005
2025-09-14 14:00:00,3.2526560440348913,4.1581752220761015,117.31968893141908,215.5627173432698,638.4517,62.565,366.695,497.93,27.92,29.099541666666667,58.49,56.21083333333334
2025-09-14 14:30:00,1.2869067898932556,3.7135883431720758,104.7288120830528,129.5120784890571,578.5783,57.26666,370.4133,496.7967,28.05,30.2428075,57.81,53.50416666666666
2025-09-14 15:00:00,2.3618155072447737,3.2178890233601574,90.72632523363961,120.12238872795638,500.6583,50.58333,369.7967,492.3217,28.63,30.253819999999997,56.97,53.67583333333334
2025-09-14 15:30:00,2.3580908122659086,3.279860974573037,92.45292211857527,113.52329172676062,412.26,41.55833,369.8517,484.515,29.11,30.06960916666667,55.38,53.35666666666668
2025-09-14 16:00:00,1.1452540296667961,3.229615291175732,91.03595857529875,72.28169084070774,322.3683,32.97667,370.3,474.8866,28.4,29.989358333333342,57.09,53.998333333333335
2025-09-14 16:30:00,0.2738372929000765,2.743865002819665,77.3513188507144,48.54455545358091,231.245,23.64833,370.48,466.28,28.5,29.42074333333333,56.84,54.45750000000001
2025-09-14 17:00:00,-1.8403452932430437,2.22100045392708,62.635688854281774,13.538137914009512,145.4667,14.735,369.445,455.07,27.68,28.0915775,59.91,59.67166666666666
2025-09-14 17:30:00,-3.954527879386165,1.2700363668967865,35.833417114845325,-15.252080374569251,67.475,6.315,367.09,444.6233,26.99,26.726884166666668,60.87,62.53416666666667
2025-09-14 18:00:00,-7.256707277235517,1.4794493866387202,41.77835818903377,-17.79257386466487,4.381667,0.2016667,363.6566,433.855,25.14,24.88365,66.09,67.815
2025-09-14 18:30:00,-6.712452307878215,0.6733728640803297,19.033557079480364,-34.511893710238816,-2.521667,-0.2116667,358.9033,426.92,24.13,23.553705,68.88,72.09833333333334
2025-09-14 19:00:00,-7.342950929054522,0.3144842101622084,8.895528599661526,-38.93626000174201,-3.28,-0.21,354.59,422.1117,23.33,22.65782666666667,71.72,75.07083333333333
2025-09-14 19:30:00,-9.763182773178178,-0.2413875379921975,-6.832537468853252,-22.26458025596972,-3.021667,-0.245,349.81,418.42,22.6,21.928585,74.53,78.16583333333334
2025-09-14 20:00:00,-9.06558546022421,0.23678791488607454,6.706120710367526,-31.75277040965649,-3.255,-0.3516667,347.01,414.92,22.05,21.218993333333334,74.92,79.36916666666666
2025-09-14 20:30:00,-3.4218601487923084,0.14105163221246173,3.9969665132082346,-10.303548948017042,-3.118333,-0.325,344.4383,410.9683,21.37,20.295423333333336,77.33,82.96666666666667
2025-09-14 21:00:00,-8.20463229858583,0.10581761545765095,2.9998118934809623,-23.47393863789408,-3.508333,-0.275,341.8883,409.2283,20.96,20.03744833333333,78.63,83.49166666666666
2025-09-14 21:30:00,-7.315251951812299,-0.16308185215728116,-4.625475895850152,-12.896575141539357,-2.938333,-0.08166666,339.8883,406.915,20.38,19.293703333333333,81.5,87.22499999999998
2025-09-14 22:00:00,-9.5824806552519,-0.3837347280112258,-10.888371765779292,-12.247577073949664,-2.693333,-0.1083333,337.8433,404.7417,19.92,18.776775,82.1,88.02499999999999
2025-09-14 22:30:00,-22.084683978337,-0.8136029113746297,-23.086058921249748,-20.420981985394345,-2.516667,-0.085,337.7233,404.7417,19.8,19.07317833333333,79.7,83.95833333333333
2025-09-14 23:00:00,-24.723642785119676,1.6116457861532858,45.733917357221934,-27.060566458014407,-2.573333,0.1183333,336.8466,402.9133,19.48,18.7008075,78.19,82.73333333333333
2025-09-14 23:30:00,-27.36260159190235,-1.37682671386534,-39.075817531877,-18.057456025913293,-2.798333,-0.14,335.88,401.305,19.3,18.295673333333333,77.6,83.175
2025-09-15 00:00:00,-33.92521727927009,-1.395970864817204,-39.6352342347484,-16.33625627024048,-2.56,-0.06,335.3833,399.38,18.88,17.976849166666664,76.66,82.24166666666666
2025-09-15 00:30:00,-6.005244820276121,0.06588212311948126,1.8714530995874796,-12.993156217160594,-2.885,-0.1816667,334.4233,396.8583,18.58,17.400549166666664,77.09,83.50833333333333
2025-09-15 01:00:00,-1.8777790910217378,0.01977110724768461,0.5618501231498964,-5.953450737621255,-2.311667,-0.165,333.7166,395.2816,18.22,16.49672,78.5,88.72500000000001
2025-09-15 01:30:00,-5.29028979398622,0.10718137767063439,3.04696744699681,-10.853750355273052,-2.758333,-0.175,333.7083,392.5633,17.64,15.851123333333334,82.2,92.875
2025-09-15 02:00:00,-1.945630455242989,-0.0009296289727577466,-0.028066329131184897,-4.431547111147031,-2.128333,0.255,333.51,390.9833,16.91,15.222702500000002,86.4,94.50833333333333
2025-09-15 02:30:00,-3.6062549011953977,-0.10904063561614988,-3.1031001052591805,-2.330304228399653,-2.196666,0.1166667,329.7983,387.7467,16.03,14.741375,91.0,95.2
2025-09-15 03:00:00,33.38246700111897,1.1382980496854969,32.40197776565202,0.03107501788967637,-1.406667,0.175,330.555,386.41,15.68,14.468490833333334,92.0,95.80833333333334
2025-09-15 03:30:00,-19.8866955364667,-0.5110029136742437,-14.55033744959998,-0.662812099295153,-1.723333,0.27,343.9066,385.9483,15.42,14.344828333333332,93.9,96.375
2025-09-15 04:00:00,-11.767710697372593,-0.08241811878174006,-2.345419707227556,-3.4050914490144684,-1.613333,0.3316666,350.7333,386.5516,15.77,14.107484166666666,94.0,96.45
2025-09-15 04:30:00,-3.6487258582784845,-0.025279583491325808,-0.7196592631881488,-3.6540106751756816,-1.151667,0.3833333,355.5767,386.8717,15.81,14.105380833333331,94.9,96.76666666666668
2025-09-15 05:00:00,1.6440660419357007,0.09646091114587675,2.742001543519258,0.272428151595415,-1.803333,-0.1766667,355.735,383.94,15.57,13.877633333333334,93.2,96.84166666666664
2025-09-15 05:30:00,6.936857942149886,0.21820140578307928,6.203662350226665,4.198866978366512,0.515,0.1183333,359.3983,383.4833,15.09,13.747104166666668,94.5,96.68333333333337
2025-09-15 06:00:00,-3.4372040777561725,0.33994190042028183,9.665323156934072,8.125305805137607,34.835,1.961667,363.9133,385.3733,15.15,13.862170833333332,95.3,97.025
2025-09-15 06:30:00,-13.81126609766223,0.46168239505748443,13.126983963641479,12.051744631908704,102.6767,11.125,362.3783,394.5,16.26,14.979427500000003,93.2,97.61666666666666
2025-09-15 07:00:00,-24.18532811756829,0.5834228896946869,16.588644770348886,15.9781834586798,175.4733,19.21,327.9,407.6033,18.63,17.15624416666667,81.7,95.88333333333333
