dt_ts,NEE,ET,LE,H,SWin,SWout,LWin,LWout,TA1,RH1
2025-06-14 21:30:00,-6.757153201174583,0.6250464519978581,17.70855583824775,-24.033080847078924,-0.63,0.02,351.0667,419.6133,20.45,75.75
2025-06-14 22:00:00,-5.601612582857412,0.3357528542330063,9.517465501539137,-20.192150922263792,-0.8066666,-0.09666666,344.5333,413.6733,19.97,77.77
2025-06-14 22:30:00,-7.945233415040605,1.6316922561437368,46.26782031149396,-16.902513992920568,-0.6433333,0.07666666,343.3,412.53,19.36,80.3
2025-06-14 23:00:00,-5.709505283890678,0.49678060213500186,14.0948992897097,-20.553630180211567,-0.76,0.03666667,341.9533,408.8766,18.79,83.0
2025-06-14 23:30:00,-6.292742069388238,0.2747932609943786,7.8009414357872,-22.98835418314517,-0.76,-0.03666667,340.87,406.94,18.33,84.2
2025-06-15 00:00:00,-6.454033974313739,0.3705783444460534,10.523930840083969,-22.94190075391535,-0.7066666,-0.07333333,340.0533,406.4033,18.02,84.2
2025-06-15 00:30:00,-5.814248695736518,0.20413496382500332,5.799196743644906,-19.33636008412177,-0.6766667,-0.03,338.6,402.83,17.54,84.7
2025-06-15 01:00:00,-4.227104007183578,0.24621150774445041,6.997778363448137,-12.042182802438294,-0.7166666,-0.04333333,341.8167,400.76,16.92,88.4
2025-06-15 01:30:00,-6.283047909393715,0.6174735575648785,17.558851059099513,-11.2986896455201,-0.5633333,-0.02666667,346.7633,401.1,16.63,87.9
2025-06-15 02:00:00,-5.5618192306832706,0.9690763545115408,27.57068774908986,-11.53231869957452,-0.6033333,0.01,338.2967,397.3066,15.97,85.3
2025-06-15 02:30:00,-4.357841679268942,0.3270891172916871,9.30984351538292,-11.76594775362894,-0.56,0.03333334,339.2133,395.2566,15.57,85.6
2025-06-15 03:00:00,-4.93277023708995,0.4426125994231188,12.601112983221176,-11.176281041035852,-0.4833333,0.02,336.7367,393.77,15.4,84.6
2025-06-15 03:30:00,-5.174963216746025,0.30055742705430755,8.558708630614332,-12.71093592973876,-0.09666666,-0.03666667,370.8567,390.27,15.05,84.8
2025-06-15 04:00:00,0.7312517725103597,-0.06478723153819371,-1.8454917858320463,0.4195983856418802,-0.2566667,0.04,336.0667,387.6667,14.78,87.7
2025-06-15 04:30:00,-4.95684375963471,0.4678606774563361,13.325236208996028,-10.848737835978016,10.36,2.53,355.1667,393.04,15.05,83.5
2025-06-15 05:00:00,-3.6826462964902875,0.3674776849967317,10.466019987063554,-6.057877179723244,43.27667,10.64333,366.05,394.59,14.94,85.8
